IP,PORT,DESCRIPTION
156.19.4.198,80,Spectrum
66.190.145.205,80,Spectrum
68.115.216.164,80,Westin Poinsett Hotel
71.12.67.99,80,Spectrum
24.241.249.211,80,Spectrum
198.71.79.219,80,Green Cloud Technologies,LLC
165.166.79.154,80,Spirit Communications
47.49.144.238,80,Spectrum
156.19.11.138,80,Spectrum
72.151.28.215,80,AT&T Internet Services
96.36.112.50,80,Spectrum
66.190.144.101,80,Spectrum
198.71.76.171,80,Green Cloud Technologies,LLC
156.19.3.146,80,Spectrum
66.168.120.152,80,Spectrum
24.177.16.14,80,Spectrum
156.19.5.121,80,Spectrum
74.164.171.27,80,AT&T Internet Services
198.71.77.39,80,Walker And Dunlop
96.36.254.222,80,Spectrum
71.85.123.122,80,Spectrum
72.151.25.137,80,AT&T Internet Services
156.19.1.10,80,Spectrum
24.241.248.184,80,Spectrum
66.168.120.160,80,Spectrum
24.196.182.53,80,Spectrum
66.192.61.173,80,tw telecom holdings
156.19.4.42,80,Spectrum
47.49.169.238,80,Spectrum
198.71.77.168,80,Merchant Foods
156.19.6.88,80,Spectrum
96.36.255.10,80,Spectrum
156.19.5.118,80,Spectrum
24.241.252.223,80,Spectrum
198.71.79.118,80,Green Cloud Technologies,LLC
47.49.169.20,80,Spectrum
96.36.112.46,80,Spectrum
74.164.190.145,80,AT&T Internet Services
74.164.176.140,80,AT&T Internet Services
172.8.21.167,80,AT&T U-verse
47.49.144.162,80,Spectrum
156.19.5.117,80,Spectrum
156.19.4.106,80,Spectrum
156.19.8.203,80,Spectrum
156.19.6.34,80,Spectrum
96.36.254.58,80,Spectrum
156.19.6.85,80,Spectrum
198.71.76.213,80,Green Cloud Technologies,LLC
66.192.61.154,80,tw telecom holdings
24.241.248.200,80,Spectrum
71.85.122.235,80,Spectrum
66.190.144.216,80,Spectrum
156.19.2.202,80,Spectrum
24.241.252.241,80,Spectrum
72.151.10.123,80,AT&T Internet Services
47.49.144.230,80,Spectrum
74.177.96.174,80,AT&T Internet Services
66.190.144.244,80,Spectrum
156.19.0.58,80,Spectrum
47.49.169.86,80,Spectrum
24.241.251.199,80,Spectrum
108.77.251.120,80,AT&T U-verse
156.19.7.186,80,Spectrum
68.115.239.58,80,Spectrum
68.115.216.163,80,Westin Poinsett Hotel
24.241.250.26,80,Spectrum
66.192.61.185,80,tw telecom holdings
198.71.77.60,80,Walker And Dunlop
66.190.144.238,80,Spectrum
66.192.61.145,80,tw telecom holdings
24.241.253.245,80,Spectrum
165.166.66.241,80,Spirit Communications
165.166.66.225,80,Spirit Communications
71.85.123.132,80,Spectrum
47.49.172.182,80,Spectrum
68.115.237.13,80,Spectrum
24.241.250.96,80,Spectrum
156.19.2.114,80,Spectrum
24.241.250.214,80,Spectrum
66.168.120.91,80,Spectrum
45.24.141.111,80,AT&T Internet Services
71.85.123.15,80,Spectrum
96.36.112.230,80,Spectrum
156.19.0.170,80,Spectrum
68.115.255.234,80,Spectrum
24.241.255.224,80,Spectrum
24.241.252.0,80,Spectrum
68.115.237.6,80,Spectrum
66.190.145.190,80,Spectrum
156.19.8.198,80,Spectrum
66.168.120.46,80,Spectrum
156.19.2.146,80,Spectrum
208.83.140.108,80,Care Coordination Institute, LLC
165.166.66.6,80,Spirit Communications
156.19.6.70,80,Spectrum
68.115.236.4,80,Spectrum
156.19.1.50,80,Spectrum
66.168.120.78,80,Spectrum
24.241.251.88,80,Spectrum